,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,indirizzo,valutazione
0,Raeli Hotel Lazio,"7,7",Ottimo,321 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€159,"Stazione centrale Roma Termini, Roma - In pieno centro",3
1,Raeli Hotel Noto,"7,8",Ottimo,2.391 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€153,"Stazione centrale Roma Termini, Roma - In pieno centro",3
2,Hotel King,"8,1",Fantastico,2.109 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€169,"Via Veneto, Roma - In pieno centro",3
3,Rome Cavalieri A Waldorf Astoria Hotel,"8,9",Fantastico,1.161 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€1.620,"Trionfale, Roma - A 1,2 km dal centro",5
4,Hotel Taormina,"8,3",Fantastico,1.541 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€105,"Stazione centrale Roma Termini, Roma - In pieno centro",2
5,B&B Hotel Roma Tuscolana San Giovanni,"8,3",Fantastico,1.064 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€95,"Appio Latino, Roma - A 1,6 km dal centro",3
6,Sonder by Marriott Bonvoy Piazza Venezia Apartments,"9,2",Eccezionale,4 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€228,"Pantheon, Roma - In pieno centro",3
7,Hotel American Palace Eur,"8,5",Fantastico,7.282 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€105,"Eur e Garbatella, Roma - A 6,2 km dal centro",4
8,hu Roma Camping in town,"8,3",Fantastico,18.989 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€69,"Aurelio e Monteverde, Roma - A 4,5 km dal centro",4
9,B&B Hotel Roma Fiumicino Aeroporto Fiera 2,"8,4",Fantastico,6.546 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€100,"Aeroporto di Fiumicino, Roma - A 17,2 km dal centro",3
10,Ibis Roma Fiera,"7,6",Ottimo,5.166 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€96,"Roma Ovest, Roma - A 9,3 km dal centro",3
11,B&B Hotel Roma Fiumicino,"8,3",Fantastico,6.308 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€98,"Aeroporto di Fiumicino, Roma - A 17,2 km dal centro",3
12,AH ROMA,"7,2",Ottimo,866 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€88,"Roma Nord, Roma - A 7,2 km dal centro",3
13,Hotel Roma Tor Vergata,"7,8",Ottimo,2.086 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€105,"Roma Est, Roma - A 10,3 km dal centro",4
14,Hotel Gambrinus,"8,3",Fantastico,864 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€128,"Via Veneto, Roma - In pieno centro",4
15,Hilton Rome Airport Hotel,"7,6",Ottimo,11.241 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€250,"Aeroporto di Fiumicino, Roma - A 20,4 km dal centro",4
16,Giglio Dell'opera Hotel,"6,9",Buono,2.955 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€87,"Stazione centrale Roma Termini, Roma - In pieno centro",3
17,Maison delle Naiadi Guest House,"8,6",Fantastico,482 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€110,"Stazione centrale Roma Termini, Roma - In pieno centro",3
18,Hotel Nord Nuova Roma,"8,4",Fantastico,7.083 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€198,"Stazione centrale Roma Termini, Roma - In pieno centro",3
19,Corot Hotel,"7,9",Ottimo,1.051 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€119,"Stazione centrale Roma Termini, Roma - In pieno centro",3
20,Hotel Oriente,"7,2",Ottimo,444 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€80,"Stazione centrale Roma Termini, Roma - In pieno centro",2
21,Raeli Hotel Siracusa,"7,7",Ottimo,4.169 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€160,"Stazione centrale Roma Termini, Roma - In pieno centro",3
22,The Kennedy Hotel,"7,6",Ottimo,1.260 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€117,"Stazione centrale Roma Termini, Roma - In pieno centro",3
23,Raeli Hotel Archimede,"7,6",Ottimo,334 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€112,"Stazione centrale Roma Termini, Roma - In pieno centro",4
24,Hotel Villa Rosa,"7,6",Ottimo,468 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€113,"Trastevere, Roma - A 1,5 km dal centro",3
25,Air Rooms Rome Airport by HelloSky,"8,0",Fantastico,749 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€238,"Aeroporto di Fiumicino, Roma - A 20,5 km dal centro",4
26,Hotel Nazionale,"9,2",Eccezionale,3.632 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€167,"Pantheon, Roma - In pieno centro",4
27,Hotel Raganelli,"8,3",Fantastico,1.250 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€92,"Aurelio e Monteverde, Roma - A 3,6 km dal centro",4
28,Trevi Hotel,"8,1",Fantastico,2.050 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€154,"Fontana di Trevi, Roma - In pieno centro",3
29,Adriatic Hotel,"7,9",Ottimo,992 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€105,"Città del Vaticano, Roma - In pieno centro",2
30,Quirinale Hotel,"8,3",Fantastico,8.240 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€201,"Stazione centrale Roma Termini, Roma - In pieno centro",4
31,Roma Resort Termini,"7,0",Ottimo,807 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€115,"Stazione centrale Roma Termini, Roma - In pieno centro",3
32,Hotel Isola Sacra Rome Airport,"8,8",Fantastico,8.292 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€213,"Aeroporto di Fiumicino, Roma - A 21,6 km dal centro",4
33,Locanda Delle Corse,"8,3",Fantastico,62 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€224,"Appio Latino, Roma - A 8,7 km dal centro",3
34,Hotel Artis,"7,9",Ottimo,446 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€85,"Appio Latino, Roma - A 6,0 km dal centro",4
35,Hotel Villafranca,"8,1",Fantastico,1.956 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€162,"Stazione centrale Roma Termini, Roma - In pieno centro",4
36,Genova Hotel,"8,3",Fantastico,2.602 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€179,"Stazione centrale Roma Termini, Roma - In pieno centro",4
37,Family House Hotel,"7,1",Ottimo,480 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€76,"Stazione centrale Roma Termini, Roma - In pieno centro",1
