,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,valutazione
0,Hotel Valentino,"9,0",Eccezionale,2 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",183 €,,"Terni, Terni ",4
1,Hotel Garden Terni,"7,9",Ottimo,505 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",138 €,,"Terni, Terni ",4
2,Hotel Michelangelo Palace & SPA,"8,0",Fantastico,718 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",174 €,,"Terni, Terni ",4
3,Classic Hotel Tulipano,"7,6",Ottimo,453 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",98 €,,"Terni, Terni ",3
4,Hotel De Paris,"8,1",Fantastico,11 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",69 €,,"Terni, Terni ",3
5,Cospea B&B,"9,6",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",55 €,,"Terni, Terni ",3
6,Vallantica Resort & SPA,"8,7",Fantastico,263 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",206 €,,"San Gemini, San Gemini ",4
7,Hotel Narnia,"9,5",Eccezionale,6 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",74 €,,"Narni, Narni ",3
8,Agriturismo Tenuta Filippi,"8,9",Fantastico,254 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",123 €,,"Narni, Narni ",3
9,Nonna Anita Palace Narni,"8,8",Fantastico,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",190 €,,"Narni, Narni ",4
10,Hotel Federico II,"8,5",Fantastico,1.148 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",159 €,,"Terni, Terni ",3
11,Terra Umbra Hotel,"8,0",Fantastico,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",101 €,,"Narni, Narni ",4
12,Asso Residence Narni,"8,3",Fantastico,220 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",102 €,,"Narni, Narni ",3
13,Asso Residence,"8,3",Fantastico,1.407 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",79 €,,"Terni, Terni ",3
14,Domus Umbra,"8,3",Fantastico,131 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",183 €,,"Terni, Terni ",5
15,Stazione di Posta San Gemini,"10,0",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",90 €,,"San Gemini, San Gemini ",3
16,Fattoria Didattica La Collina Incantata,"8,2",Fantastico,169 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",97 €,,"Narni, Narni ",4
17,Appartamenti Il Cerqueto 2,"8,4",Fantastico,160 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",74 €,,"Terni, Terni ",5
18,La Vecchia Stalla B&B,"9,1",Eccezionale,95 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",102 €,,"Narni, Narni ",3
19,L' Antico Casale,"9,4",Eccezionale,347 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",94 €,,"Terni, Terni ",5
20,Residence Viviverde,"8,9",Fantastico,643 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",76 €,,"Terni, Terni ",4
21,La Sosta B&B,"8,9",Fantastico,170 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",80 €,,"Stroncone, Stroncone ",3
22,Belvedere Valenza,"7,9",Ottimo,15 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",97 €,,"Terni, Terni ",3
23,Il Pozzo Country House,"9,0",Eccezionale,423 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",95 €,,"Terni, Terni ",5
24,San Gemini Palace,"9,2",Eccezionale,242 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",199 €,,"San Gemini, San Gemini ",5
25,La Casa Rosa,"8,6",Fantastico,348 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",111 €,,"Terni, Terni ",4
26,Terni In Centro,"7,7",Ottimo,52 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",124 €,,"Terni, Terni ",3
27,San Casciano,"9,2",Eccezionale,123 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",106 €,,"Narni, Narni ",4
28,Alle Torri,"8,4",Fantastico,136 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",122 €,,"Terni, Terni ",4
29,Il Giardino di Venere,"9,6",Eccezionale,1 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",74 €,,"Terni, Terni ",3
